"work_id","size_id","sale_price","regular_price"
160228,24,85.00,85.00
160228,30,95.00,95.00
160236,24,85.00,85.00
160236,30,95.00,95.00
160244,24,85.00,85.00
160244,30,95.00,95.00
160252,24,85.00,85.00
160252,30,95.00,95.00
160260,24,75.00,75.00
160260,30,95.00,95.00
160268,24,85.00,85.00
160268,30,95.00,95.00
125752,30,95.00,95.00
125752,24,85.00,85.00
125752,3024,305.00,535.00
125752,3226,325.00,575.00
125752,3629,375.00,675.00
125752,4030,405.00,735.00
125752,4836,495.00,915.00
125752,6048,675.00,1275.00
125752,6854,805.00,1535.00
125818,30,95.00,95.00
125818,24,85.00,85.00
125818,3624,335.00,595.00
125818,4630,425.00,775.00
125818,5436,535.00,995.00
125818,6040,605.00,1135.00
125818,7248,765.00,1455.00
23448,20,75.00,75.00
23448,24,85.00,85.00
23448,30,95.00,95.00
23448,3024,305.00,535.00
23448,3226,325.00,575.00
23448,3629,375.00,675.00
23448,4030,405.00,735.00
23448,4836,495.00,915.00
23448,6048,675.00,1275.00
23448,6854,805.00,1535.00
125763,30,95.00,95.00
125763,24,85.00,85.00
125763,3024,305.00,535.00
125763,3226,325.00,575.00
125763,3629,375.00,675.00
125763,4030,405.00,735.00
125763,4836,495.00,915.00
125763,6048,675.00,1275.00
125763,6854,805.00,1535.00
125774,30,95.00,95.00
125774,24,85.00,85.00
125774,3024,305.00,535.00
125774,3226,325.00,575.00
125774,3629,375.00,675.00
125774,4030,405.00,735.00
125774,4836,495.00,915.00
125774,6048,675.00,1275.00
125774,6854,805.00,1535.00
125785,30,95.00,95.00
125785,24,85.00,85.00
125785,3024,305.00,535.00
125785,3226,325.00,575.00
125785,3629,375.00,675.00
125785,4030,405.00,735.00
125785,4836,495.00,915.00
125785,6048,675.00,1275.00
125785,6854,805.00,1535.00
125796,3629,395.00,675.00
125796,4030,425.00,735.00
125796,4836,515.00,915.00
125796,6048,695.00,1275.00
125796,6854,825.00,1535.00
125807,3024,305.00,535.00
125807,3226,325.00,575.00
125807,3629,375.00,675.00
125807,4030,405.00,735.00
125807,4836,495.00,915.00
125807,6048,675.00,1275.00
125807,6854,805.00,1535.00
24532,3624,315.00,565.00
24532,4630,405.00,745.00
24532,5436,515.00,965.00
24532,6040,585.00,1105.00
24532,7248,745.00,1425.00
124470,30,95.00,95.00
124470,24,85.00,85.00
124470,20,75.00,75.00
124470,3624,315.00,565.00
124470,4630,405.00,745.00
124470,5436,515.00,965.00
124470,6040,585.00,1105.00
124470,7248,745.00,1425.00
124479,3624,315.00,565.00
124479,4630,405.00,745.00
124479,5436,515.00,965.00
124479,6040,585.00,1105.00
124479,7248,745.00,1425.00
124488,3624,315.00,565.00
124488,4630,405.00,745.00
124488,5436,515.00,965.00
124488,6040,585.00,1105.00
124488,7248,745.00,1425.00
124497,3624,315.00,565.00
124497,4630,405.00,745.00
124497,5436,515.00,965.00
124497,6040,585.00,1105.00
124497,7248,745.00,1425.00
124506,3624,315.00,565.00
124506,4630,405.00,745.00
124506,5436,515.00,965.00
124506,6040,585.00,1105.00
124506,7248,745.00,1425.00
124515,30,95.00,95.00
124515,24,85.00,85.00
124515,3624,315.00,565.00
124515,4630,405.00,745.00
124515,5436,515.00,965.00
124515,6040,585.00,1105.00
124515,7248,745.00,1425.00
124524,30,95.00,95.00
124524,24,85.00,85.00
124524,3624,315.00,565.00
124524,4630,405.00,745.00
124524,5436,515.00,965.00
124524,6040,585.00,1105.00
124524,7248,745.00,1425.00
124533,30,95.00,95.00
124533,24,85.00,85.00
124533,3624,315.00,565.00
124533,4630,405.00,745.00
124533,5436,515.00,965.00
124533,6040,585.00,1105.00
124533,7248,745.00,1425.00
124542,3624,315.00,565.00
124542,4630,405.00,745.00
124542,5436,515.00,965.00
124542,6040,585.00,1105.00
124542,7248,745.00,1425.00
124551,3624,315.00,565.00
124551,4630,405.00,745.00
124551,5436,515.00,965.00
124551,6040,585.00,1105.00
124551,7248,745.00,1425.00
124560,3624,315.00,565.00
124560,4630,405.00,745.00
124560,5436,515.00,965.00
124560,6040,585.00,1105.00
124560,7248,745.00,1425.00
124569,3624,315.00,565.00
124569,4630,405.00,745.00
124569,5436,515.00,965.00
124569,6040,585.00,1105.00
124569,7248,745.00,1425.00
124578,3624,315.00,565.00
124578,4630,405.00,745.00
124578,5436,515.00,965.00
124578,6040,585.00,1105.00
124578,7248,745.00,1425.00
124587,3624,315.00,565.00
124587,4630,405.00,745.00
124587,5436,515.00,965.00
124587,6040,585.00,1105.00
124587,7248,745.00,1425.00
135881,30,95.00,95.00
135881,24,85.00,85.00
135881,2430,305.00,545.00
135881,2632,325.00,585.00
135881,2936,375.00,685.00
135881,3040,405.00,745.00
135881,3648,495.00,925.00
135881,4860,675.00,1285.00
135892,2430,305.00,545.00
135892,2632,325.00,585.00
135892,2936,375.00,685.00
135892,3040,405.00,745.00
135892,3648,495.00,925.00
135892,4860,675.00,1285.00
135892,5468,805.00,1545.00
135903,2430,305.00,545.00
135903,2632,325.00,585.00
135903,2936,375.00,685.00
135903,3040,405.00,745.00
135903,3648,495.00,925.00
135903,4860,675.00,1285.00
135903,5468,805.00,1545.00
135914,2430,305.00,545.00
135914,2632,325.00,585.00
135914,2936,375.00,685.00
135914,3040,405.00,745.00
135914,3648,495.00,925.00
135914,4860,675.00,1285.00
135914,5468,805.00,1545.00
135925,2430,305.00,545.00
135925,2632,325.00,585.00
135925,2936,375.00,685.00
135925,3040,405.00,745.00
135925,3648,495.00,925.00
135925,4860,675.00,1285.00
135925,5468,805.00,1545.00
135936,2430,305.00,545.00
135936,2632,325.00,585.00
135936,2936,375.00,685.00
135936,3040,405.00,745.00
135936,3648,495.00,925.00
135936,4860,675.00,1285.00
135936,5468,805.00,1545.00
135947,30,95.00,95.00
135947,24,85.00,85.00
135947,2430,305.00,545.00
135947,2632,325.00,585.00
135947,2936,375.00,685.00
135947,3040,405.00,745.00
135947,3648,495.00,925.00
135947,4860,675.00,1285.00
135947,5468,805.00,1545.00
135958,2430,305.00,545.00
135958,2632,325.00,585.00
135958,2936,375.00,685.00
135958,3040,405.00,745.00
135958,3648,495.00,925.00
135958,4860,675.00,1285.00
135958,5468,805.00,1545.00
31780,36,10.00,125.00
31780,30,10.00,95.00
31780,2436,345.00,605.00
31780,3046,435.00,785.00
31780,3654,545.00,1005.00
31780,4060,615.00,1145.00
31780,4872,775.00,1465.00
135969,2430,305.00,545.00
135969,2632,325.00,585.00
135969,2936,375.00,685.00
135969,3040,405.00,745.00
135969,3648,495.00,925.00
135969,4860,675.00,1285.00
